max_size	None
min_freq	None
unknown	<unk>
padding	<pad>
rebuild	False

治	5	852	0
桌	1	1353	0
+	6	777	0
b	6	778	0
净	1	1354	0
宅	2	1154	0
拜	8	671	0
瞿	1	1355	0
鼎	6	779	0
躺	2	1155	0
洗	3	1007	0
澡	1	1356	0
睡	6	780	0
觉	6	781	0
谈	1	1357	0
航	14	515	0
湾	8	672	0
身	21	401	0
色	11	569	0
黑	9	632	0
葛	3	1008	0
洎	1	1358	0
努	2	1156	0
敬	1	1359	0
樊	3	1009	0
撑	5	853	0
讲	6	782	0
宁	1	1360	0
夏	3	1010	0
填	1	1361	0
报	10	590	0
存	7	719	0
楷	1	1362	0
餐	8	673	0
托	8	674	0
博	6	783	0
锐	1	1363	0
呢	4	918	0
弟	11	570	0
铺	2	1157	0
回	18	448	0
族	2	1158	0
圃	1	1364	0
促	1	1365	0
解	11	571	0
铭	3	1011	0
功	4	919	0
红	25	353	0
艾	1	1366	0
昌	3	1012	0
古	4	920	0
史	3	1013	0
劳	5	854	0
床	9	633	0
轮	3	1014	0
链	1	1367	0
坍	10	591	0
致	7	720	0
勤	3	1015	0
收	8	675	0
钻	1	1368	0
碧	2	1159	0
祝	1	1369	0
贯	1	1370	0
巨	2	1160	0
节	2	1161	0
骏	1	1371	0
浸	4	921	0
裂	2	1162	0
缝	2	1163	0
抓	4	922	0
熙	2	1164	0
根	7	721	0
否	10	592	0
瑞	2	1165	0
娟	1	1372	0
粉	7	722	0
龄	8	676	0
婉	1	1373	0
害	3	1016	0
婆	1	1374	0
元	46	220	0
润	3	1017	0
栖	1	1375	0
倾	1	1376	0
斜	2	1166	0
趟	1	1377	0
取	1	1378	0
幢	1	1379	0
卡	4	923	0
~	1	1380	0
栏	2	1167	0
锤	2	1168	0
搞	2	1169	0
塑	4	924	0
料	4	925	0
风	8	677	0
韦	2	1170	0
彬	2	1171	0
皇	4	926	0
甫	4	927	0
琴	1	1381	0
滨	5	855	0
恒	3	1018	0
证	3	1019	0
依	3	1020	0
旧	1	1382	0
恢	2	1172	0
复	9	634	0
神	2	1173	0
窗	4	928	0
写	2	1174	0
波	2	1175	0
财	2	1176	0
估	3	1021	0
计	6	784	0
涂	2	1177	0
禄	1	1383	0
艰	1	1384	0
构	3	1022	0
所	18	449	0
宽	4	929	0
担	8	678	0
径	3	1023	0
蹦	1	1385	0
跃	1	1386	0
兴	3	1024	0
怡	1	1387	0
亚	2	1178	0
听	5	856	0
突	2	1179	0
击	1	1388	0
拟	1	1389	0
见	10	593	0
恩	1	1390	0
植	2	1180	0
冰	3	1025	0
尿	5	857	0
瓶	6	785	0
闭	1	1391	0
症	4	930	0
傅	4	931	0
买	5	858	0
侧	7	723	0
墙	5	859	0
挡	4	932	0
筑	5	860	0
塔	6	786	0
丰	2	1181	0
弱	10	594	0
残	6	787	0
珊	2	1182	0
荥	12	552	0
邯	1	1392	0
郸	1	1393	0
化	14	516	0
遗	2	1183	0
云	6	788	0
艘	6	789	0
溢	2	1184	0
享	2	1185	0
美	4	933	0
麟	1	1394	0
租	2	1186	0
吕	1	1395	0
濮	1	1396	0
凌	4	934	0
晨	4	935	0
赞	1	1397	0
露	3	1026	0
庭	2	1187	0
题	2	1188	0
褥	14	517	0
污	5	861	0
焦	2	1189	0
丹	2	1190	0
牺	2	1191	0
牲	2	1192	0
棋	2	1193	0
盘	4	936	0
洞	10	595	0
锹	5	862	0
凡	3	1027	0
又	6	790	0
熬	1	1398	0
赶	4	937	0
慢	8	679	0
传	2	1194	0
液	2	1195	0
权	1	1399	0
加	15	501	0
玛	1	1400	0
服	10	596	0
井	3	1028	0
乎	2	1196	0
俺	2	1197	0
械	3	1029	0
贤	1	1401	0
逐	1	1402	0
渐	1	1403	0
轻	7	724	0
滞	8	680	0
效	2	1198	0
裙	3	1030	0
必	7	725	0
喷	2	1199	0
压	9	635	0
遭	3	1031	0
殃	2	1200	0
q	1	1404	0
旗	5	863	0
矿	7	726	0
侦	1	1405	0
准	3	1032	0
限	10	597	0
执	1	1406	0
键	1	1407	0
陶	6	791	0
瓷	6	792	0
拐	2	1201	0
蒙	2	1202	0
鑫	3	1033	0
清	7	727	0
姗	2	1203	0
欢	2	1204	0
馒	2	1205	0
驾	2	1206	0
驶	2	1207	0
特	9	636	0
仙	1	1408	0
别	9	637	0
糖	2	1208	0
撒	1	1409	0
银	3	1034	0
糊	3	1035	0
仿	3	1036	0
讯	1	1410	0
绝	3	1037	0
变	1	1411	0
器	2	1209	0
杜	2	1210	0
k	2	1211	0
煮	1	1412	0
寨	6	793	0
爆	5	864	0
归	3	1038	0
父	7	728	0
母	5	865	0
怀	2	1212	0
黄	10	598	0
须	3	1039	0
耿	4	938	0
览	1	1413	0
棉	4	939	0
酮	3	1040	0
单	23	377	0
约	7	729	0
泛	1	1414	0
滥	1	1415	0
豫	3	1041	0
司	10	599	0
吴	3	1042	0
伸	6	794	0
舆	1	1416	0
论	1	1417	0
反	4	940	0
播	1	1418	0
楠	1	1419	0
琳	2	1213	0
卷	1	1420	0
挑	1	1421	0
染	3	1043	0
闷	1	1422	0
稍	2	1214	0
缓	2	1215	0
称	2	1216	0
输	5	866	0
项	4	941	0
宗	3	1044	0
纣	1	1423	0
殿	1	1424	0
？	1	1425	0
u	2	1217	0
寓	1	1426	0
翟	1	1427	0
除	2	1218	0
挖	3	1045	0
掘	3	1046	0
慎	1	1428	0
曾	2	1219	0
闪	1	1429	0
慧	2	1220	0
娜	1	1430	0
脑	1	1431	0
炎	1	1432	0
岩	1	1433	0
冷	1	1434	0
饿	4	942	0
汴	1	1435	0
格	1	1436	0
茂	1	1437	0
挨	8	681	0
夺	1	1438	0
声	3	1047	0
娘	3	1048	0
乘	1	1439	0
查	2	1221	0
询	2	1222	0
嘛	1	1440	0
兄	3	1049	0
炉	1	1441	0
啊	8	682	0
戚	2	1223	0
辛	23	378	0
尖	1	1442	0
伏	1	1443	0
羲	1	1444	0
言	1	1445	0
盛	1	1446	0
娃	1	1447	0
纺	1	1448	0
挂	7	730	0
筏	3	1050	0
w	1	1449	0
峡	1	1450	0
沦	2	1224	0
欣	1	1451	0
橦	1	1452	0
返	3	1051	0
汉	1	1453	0
激	1	1454	0
协	1	1455	0
罐	3	1052	0
盼	1	1456	0
淋	2	1225	0
哭	2	1226	0
闹	1	1457	0
视	6	795	0
频	4	943	0
r	1	1458	0
假	2	1227	0
班	3	1053	0
唐	13	534	0
卧	3	1054	0
弹	3	1055	0
纱	6	796	0
绪	6	797	0
换	2	1228	0
贴	2	1229	0
把	6	798	0
遍	2	1230	0
勐	1	1459	0
忽	1	1460	0
；	8	683	0
滑	3	1056	0
虽	1	1461	0
役	2	1231	0
聘	1	1462	0
英	4	944	0
浛	1	1463	0
洸	1	1464	0
泰	3	1057	0
悦	3	1058	0
巷	2	1232	0
塞	2	1233	0
购	3	1059	0
简	2	1234	0
形	2	1235	0
峻	1	1465	0
蚊	4	945	0
咬	1	1466	0
虫	1	1467	0
叮	1	1468	0
孟	3	1060	0
